sensor_index,name,location_type,model,hardware,latitude,longitude
305232,PurpleAir Ancira Mty,0,PA-II-FLEX,3.0+OPENLOG+NO-DISK+RV3028+BME68X+PMSX003-A+PMSX003-B,25.651157,-100.3062
43627,Liceo de Monterrey Rosemont,1,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,25.67425,-100.35398
45769,Huascaran,0,PA-II-SD,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.637255,-100.399216
308956,Jardín de las carreras,0,PA-II-FLEX,3.0+OPENLOG+NO-DISK+RV3028+BME68X+PMSX003-A+PMSX003-B,25.650595,-100.289
49949,El Horizonte,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.677492,-100.29761
50555,Treviño,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.638243,-100.36743
50871,TEC Garza Laguera,0,PA-II-SD,2.0+OPENLOG+NO-DISK+DS3231+BME280+PMSX003-B+PMSX003-A,25.61827,-100.27293
321194,Ramsesgs,0,PA-II-FLEX,3.0+OPENLOG+3951 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.61975,-100.29781
119937,Grupo Reforma Cumbres,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.71012,-100.37474
119965,Grupo Reforma El Norte,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.674164,-100.30816
121825,Grupo Reforma Sierra Madre,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.663378,-100.36808
136522,Bosques de La Pastora,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.65773,-100.251625
147010,Santa Barbara,0,PA-II-SD,2.0+OPENLOG+15802 MB+DS3231+BME280+PMSX003-B+PMSX003-A,25.661701,-100.38932
174781,Colegio Cambridge de Monterrey Campus Mitras,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.696613,-100.348114
174787,Colegio Cambridge de Monterrey Campus Norte,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.779613,-100.28022
189431,BEA,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.65725,-100.35996
189435,Olinalá,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.618986,-100.37645
189447,Río Amazonas NO,0,PA-II,2.0+PMSX003-B+PMSX003-A,25.662104,-100.37172
189455,CHIPINQUE CAV,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.618307,-100.359955
189469,Hospital Zambran Hellion TecSalud,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.64684,-100.33364
208785,Colegio Cambridge de Monterrey Campus Anáhuac,0,PA-II-ZEN,3.0+OPENLOG+NO-DISK+RV3028+BME68X+KX122+PMSX003-A+PMSX003-B,25.77144,-100.26785
209147,Rincon de San Jeronimo,0,PA-II,2.0+BME280+PMSX003-B+PMSX003-A,25.691032,-100.375786
227879,Rectoria,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.651268,-100.291214
227887,Sensor_Purple_Air-Explanada_EGP-Entrada_Prin,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.64419,-100.3255
227889,Parque central,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.652395,-100.28713
227907,Estacionamiento Alumnos,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.744081,-100.28277
227913,EGADE-Sombrillas,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.643106,-100.32573
228003,EGL-Jardín Robótica,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.61803,-100.27554
228001,C-MTY Explanada 2,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.656332,-100.20696
228383,Estadio Banorte,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.654228,-100.28651
228381,C-MTY RAMPA CAFETERÍA,0,PA-II-FLEX,3.0+OPENLOG+NO-DISK+RV3028+BME68X+PMSX003-A+PMSX003-B,25.628263,-100.30376
228389,PEGS-Sensor-Canchas,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.670425,-100.35683
228407,CEDES,0,PA-II-FLEX,3.0+OPENLOG+31954 MB+RV3028+BME68X+PMSX003-A+PMSX003-B,25.653677,-100.29242
